;0
7.315.807.003.397.280;13
20.286.543.075.328.900;8
13.122.112.156.606.000;9
5.157.217.915.947.040;1
24.510.146.693.276.300;2
12.469.531.869.062.600;1
20.645.171.194.628.400;3
16.853.150.094.778.500;2
7.696.913.614.608.470;13
45.831.646.977.370.500;12
22.791.039.836.384.800;6
39.067.328.368.648.400;12
2.403.120.662.763.990;1
5.399.426.249.583.450;1
14.260.330.343.021.400;13
467.683.986.804.241;4
20.656.901.918.037.400;9
461.039.485.737.948;13
4.103.948.838.864.940;13
31.115.083.948.903;6
16.666.141.796.253.700;1
34.283.981.472.921.800;13
2.784.333.310.214.280;3
15.434.910.273.191.500;3
8.039.818.950.492.030;2
5.650.919.478.682.830;3
4.283.560.144.665.410;8
2.118.005.652.297.030;2
5.965.901.363.090.010;12
2.081.974.091.040.710;2
7.406.821.154.035.320;13
28.020.393.252.516.600;12
6.726.090.765.220.980;1
4.744.483.053.836.780;3
7.931.181.840.573.240;12
1.332.114.300.070.780;8
277.448.199.283.277;12
2.812.282.071.321.190;3
4.390.000.205.609.680;12
50.881.274.048.375.500;3
9.733.142.690.769.960;1
525.153.816.824.245;12
28.094.376.857.356.500;6
6.898.683.077.124.070;1
26.689.149.343.482.900;3
11.723.406.678.717.100;6
7.807.296.261.580.770;1
1.262.334.164.168.750;12
2.299.142.027.774.970;13
2.143.537.632.069.310;6
5.033.268.845.389.390;12
896.419.920.698.914;2
2.704.274.112.233.550;2
3.881.872.167.490.010;13
26.443.232.825.568.900;13
39.410.005.435.568.800;13
183.845.743.681.486;3
2.856.891.308.971.450;6
5.577.784.487.547.460;2
3.807.636.632.296.810;13
3.220.639.982.916.970;12
8.710.454.176.805.150;3
14.804.053.505.218.600;13
12.429.931.447.818.500;6
2.172.337.999.073.400;3
21.997.047.348.781.500;1
45.296.609.144.351.200;13
39.772.533.528.075.200;6
6.783.698.095.804.300;8
22.191.896.773.720.000;13
1.444.211.655.167.650;1
11.765.589.035.741.200;13
39.890.100.181.959.600;1
20.296.599.227.464.800;2
12.124.418.414.290.100;13
1.276.391.451.118.410;3
20.267.081.583.204.200;1
9.462.903.996.121.270;1
16.919.408.781.494.200;13
3.784.039.847.803.810;6
3.165.492.111.273.310;12
6.390.680.996.918.810;3
1.206.173.744.830.690;13
1.352.985.413.879.320;12
10.426.344.146.724.400;3
4.987.698.876.136.770;8
15.963.076.600.309.400;2
10.003.575.435.527.500;3
998.001.522.203.922;6
6.879.701.928.628.100;12
9.029.792.332.767.770;1
50.303.970.570.066.400;14
26.376.272.904.643.300;3
11.436.267.550.316.700;6
2.908.780.267.943.780;2
8.975.690.618.057.450;12
0.0;2
10.350.922.097.007.000;1
6.952.809.660.489.530;3
15.630.207.488.432.300;2
0.0;2
38.904.713.271.899;13
11.802.655.081.521.600;2
13.928.434.354.131.000;3
1.436.380.918.156.950;2
12.396.985.094.434.300;1
1.228.271.409.702.750;13
11.109.788.533.984.900;13
1.264.705.431.967.130;1
21.450.278.950.251.600;12
5.082.527.810.124.490;3
1.693.091.527.050.620;1
19.091.836.285.809.300;1
6.874.283.845.350.810;6
11.010.625.333.521.300;1
25.001.852.330.885.700;12
7.280.171.415.041.240;12
39.271.662.019.157.000;2
4.615.525.627.618.080;12
0.0;2
23.422.628.079.988.600;3
3.461.646.971.584.510;3
1.155.638.087.800.760;1
15.529.760.572.858.700;12
34.873.181.299.981.400;1
8.180.251.122.584.650;13
5.683.466.947.096.850;1
4.421.866.306.393.770;6
10.764.111.688.555.400;6
2.981.273.965.854.740;3
14.568.605.567.593.300;3
32.488.211.560.359.200;3
16.475.415.844.581.800;1
0.0;2
1.972.118.170.417.890;6
8.920.522.459.950.570;2
1.449.487.238.258.570;8
3.896.595.878.185.740;3
811.215.972.901.644;12
8.120.661.848.513.900;13
3.184.055.016.736.230;12
6.955.731.959.343.560;1
11.651.495.682.055.200;3
592.309.042.273.125;8
2.038.160.708.071.640;13
4.065.040.845.187.640;2
20.029.838.780.713.600;12
7.982.033.817.339.830;6
6.029.344.030.704.430;3
4.628.114.005.636.340;6
2.257.870.982.511.860;1
730.569.063.055.092;1
6.009.222.362.205.260;3
64.471.653.593.926.000;13
9.787.469.246.608.570;1
1.430.628.639.791.180;1
2.072.123.726.833.990;2
2.643.772.107.086.510;1
21.107.477.064.869.400;12
3.948.831.503.260.880;13
2.211.228.167.096.630;2
4.339.224.647.484.770;2
10.163.789.723.056.900;2
7.609.519.092.951.520;13
2.794.948.740.918.310;2
3.427.686.303.141.950;12
29.686.325.441.646.000;8
10.678.662.336.248.400;6
7.269.249.379.278.430;13
38.099.302.919.015.300;12
9.145.636.593.873.580;1
8.963.788.362.050.540;12
17.549.862.373.773.700;1
27.612.753.658.445.000;12
21.248.849.111.859.100;3
5.302.648.705.736.820;13
16.953.161.850.401.900;1
23.885.533.314.324.800;8
4.722.706.656.067.170;13
7.792.097.470.968.350;3
2.481.133.789.204.450;8
42.890.581.780.526.700;1
3.063.975.578.218.630;3
2.714.987.969.459.190;13
1.820.344.166.982.200;3
8.192.054.979.282.360;13
8.411.463.623.449.010;1
7.457.885.545.429.620;2
15.049.931.981.667.200;2
19.962.995.712.295.700;1
1.207.339.290.022.150;13
13.966.640.177.897.300;3
37.966.896.512.941.500;13
13.669.208.684.835.700;6
10.829.283.274.412.800;1
17.267.736.105.294.600;2
1.081.893.637.431.610;3
11.355.753.381.516.500;2
24.670.845.710.886.100;3
14.961.026.064.835.000;13
1.824.235.788.181.910;3
6.635.567.673.173.660;13
19.363.485.167.965.400;13
34.979.758.382.191.800;6
3.593.124.824.834.570;8
22.219.944.703.935.800;13
2.192.681.140.871.110;3
32.973.482.224.796.500;2
2.566.530.296.607.550;8
15.800.106.771.210.800;3
9.037.308.541.993.350;13
6.006.816.914.907.580;4
18.850.895.392.219.800;12
38.371.594.576.078.200;4
1.352.736.092.032.650;13
370.446.991.070.327;3
6.128.353.380.971.920;3
18.095.856.808.702.700;6
17.266.494.473.894.900;2
7.408.026.745.838.570;13
9.686.191.274.303.310;6
6.116.110.079.355.460;6
22.265.349.647.539.100;6
44.706.847.372.256.000;12
604.728.730.931.212;12
122.076.466.179.878;1
11.940.348.087.245.600;3
12.596.748.082.392.300;3
12.979.561.247.714.100;13
225.911.598.451.843;4
2.060.671.785.874.370;2
13.806.795.862.050.000;13
2.765.516.176.313.600;2
3.050.258.062.204.280;12
1.295.196.053.032.700;1
6.036.928.865.780.360;2
5.395.186.217.070.640;1
4.371.729.983.658.880;12
5.565.735.351.674.350;1
12.037.780.894.695.800;12
30.393.579.086.512.000;6
15.268.016.505.161.600;13
368.566.406.540.416;8
84.390.166.082.999;3
12.330.128.047.917.100;13
11.823.570.579.549.500;12
7.294.222.202.432.390;8
11.180.086.234.320.600;3
9.894.760.613.550.350;13
1.338.037.792.121.030;1
26.184.212.354.879.000;6
7.176.817.819.320.820;13
19.006.571.604.220.200;13
21.763.067.198.080.700;2
15.950.584.535.942.200;12
509.535.629.151.416;6
25.326.575.269.423.400;12
371.447.082.279.043;13
8.061.334.747.005.020;3
8.666.194.115.438.880;3
32.114.144.120.100.000;6
3.308.325.128.045.120;2
1.172.616.325.594.930;13
20.360.893.778.087.000;6
560.296.306.013.079;13
2.076.082.258.186.120;3
8.646.193.167.193.740;1
10.771.423.460.569.000;13
1.470.467.777.210.170;3
23.993.651.510.194.500;12
5.661.684.799.223.210;6
3.634.579.372.827.570;6
38.420.443.411.236.900;5
2.375.849.642.549.660;6
23.271.561.575.146.300;6
557.490.376.819.005;8
10.647.280.161.307.400;2
13.005.281.212.369.300;14
915.042.621.030.414;1
6.759.441.447.058.110;11
4.878.191.411.263.980;2
5.453.246.679.655.560;6
345.445.523.223.519;6
51.124.022.339.991.200;9
7.952.766.651.386.320;10
7.583.398.090.419.400;10
8.134.906.866.567.800;4
27.560.384.104.938.300;8
2.421.631.862.546.450;7
5.192.180.927.943.950;9
34.347.592.295.613.900;10
22.930.056.284.205.800;10
1.906.996.141.742.160;6
51.546.172.614.493.400;8
6.645.442.541.224.500;7
3.022.485.201.418.980;6
12.318.919.354.036.800;8
14.332.008.312.044.900;0
8.466.199.839.718.440;4
16.086.931.141.091.200;6
56.353.551.741.929.300;9
3.424.592.942.854.030;10
34.072.531.043.323.800;10
7.948.845.371.547.210;6
2.775.362.291.158.150;8
30.716.962.340.939.500;0
7.378.900.460.334.450;7
233.434.341.686.793;8
24.118.265.106.337.600;7
37.580.381.977.537.700;4
2.333.398.965.003.990;6
5.617.337.705.435.750;10
17.808.409.543.919.500;10
384.229.907.212.346;6
10.400.793.873.734.000;5
11.224.498.273.545.900;6
29.444.171.299.622.800;6
372.090.170.885.904;5
22.993.541.488.766.000;6
2.273.047.843.114.040;4
8.419.525.528.939.460;0
13.830.392.467.641.300;10
29.059.252.054.792.600;10
3.969.726.007.517.960;7
33.434.332.980.169.900;8
6.437.146.737.446.810;6
4.501.482.715.260.210;0
20.727.930.699.460.400;8
4.158.234.930.767.520;6
