;0;1;2;3;4;5;6;7;8;9;10;11;12
0;64.81481481481481;0.0;0.0;0.0;746.4432989690722;0.0;16063.661699999999;1.0;8.0;2011.0;0.0;12857.0;1314.0
1;64.89735501157568;0.0;1.0;0.0;1015.5856931593045;0.0;8844.122548128205;3.0;3.0;1962.581427419124;1.0;3204.200572706844;931.428695020589
2;68.49537601268226;0.0;1.0;0.0;1312.2956115758461;0.0;11792.324844513209;3.0;3.0;1963.4520879174809;0.0;3265.4055339796173;1005.5958333333341
3;71.87731756805229;0.0;1.0;0.0;862.5936561046575;0.0;6161.84675344872;3.0;0.0;1968.414431496336;1.0;3725.6206896551676;1005.5958333333343
4;64.05359032501893;0.0;1.0;0.0;737.0022880286143;0.0;28446.787018;3.0;3.0;2005.5284663038537;0.0;2377.404668744842;729.7052252545675
5;64.81481481481485;0.0;0.0;0.0;746.4432989690722;0.0;20320.929666666667;1.0;8.0;2011.0;0.0;7964.666666666667;1962.1000000000001
6;60.91301683160546;0.0;1.0;0.0;1563.1646258950477;0.0;15702.549879661023;3.0;8.0;1995.8572089820523;1.0;2285.0631546546124;868.3346918519184
7;64.25722803258863;0.0;0.0;0.0;865.3634119818432;0.0;15723.67902;1.0;8.0;2011.0;0.0;8677.8;1067.6140565885187
8;60.1857574750942;0.0;1.0;0.0;709.1804789891813;0.0;20526.84595571428;3.0;8.0;2003.9598177914372;4.0;1977.9768956811617;803.0734041167576
9;64.8148148148148;0.0;0.0;0.0;1493.4385777403745;0.0;64753.8709;1.0;8.0;1975.2596114285711;0.0;1814.1133353976074;1359.6074840816323
10;64.8148148148148;0.0;0.0;0.0;784.2425836313906;0.0;41500.26458133334;1.0;8.0;2010.8561476234206;0.0;4826.53941243566;953.7661098333048
11;64.81481481481481;0.0;4.0;0.0;746.4432989690722;0.0;1221.2091;1.0;8.0;2011.0;0.0;1082.0;1005.5958333333333
12;63.37850544010433;0.0;1.0;0.0;257.32554499125246;0.0;1518.3122869255321;3.0;6.0;1953.1844332439225;2.0;3725.6206896551716;1005.5958333333363
13;61.45193547289066;0.0;1.0;0.0;443.9117098568788;0.0;3507.912612499998;3.0;3.0;1947.3098956091771;1.0;3725.620689655173;1005.59583333334
14;64.81481481481485;0.0;0.0;0.0;1506.8208108834303;0.0;144647.30016666665;0.0;2.0;1605.99780521262;1.0;437.45503996972735;1005.5958333333339
